$Data, $aa, $acap, $aexp, $b, $cplx, $docu, $etat, $flex, $kloc, $ltex, $pcap, $pcon, $plex, $pmat, $pr, $prec, $pvol, $rely, $resl, $ruse, $sced, $site, $stor, $team, $time, $tool, <effort, <months, <defects, <risks
4.541, 2.141, 4.91, 4.56, 7.158, 3.939, 4.509, 5.467, 1.419, 25.676, 3.478, 3.689, 3.278, 1.234, 2.853, 5.27, 2.805, 4.565, 2.507, 2.974, 2.688, 3.0, 2.38, 3.397, 4.832, 3.843, 2.0, 156.725, 17.113, 301.508, 0.536
2.225, 2.97, 3.792, 3.212, 6.021, 3.603, 1.923, 3.943, 2.8, 375.279, 1.717, 3.559, 4.603, 1.15, 2.46, 1.504, 3.239, 3.404, 3.642, 2.318, 5.169, 3.0, 5.385, 3.082, 1.201, 3.274, 2.0, 1240.979, 33.545, 18441.466, 0.268
4.133, 3.956, 4.556, 2.765, 5.109, 1.933, 3.812, 2.939, 4.357, 231.651, 1.225, 4.448, 2.332, 1.784, 2.952, 1.937, 4.121, 2.04, 3.327, 4.451, 4.347, 3.0, 3.289, 3.639, 1.263, 3.072, 2.0, 978.266, 28.891, 5718.693, 1.609
4.382, 2.762, 4.665, 4.87, 4.055, 2.449, 4.252, 1.129, 4.576, 65.938, 1.68, 4.427, 3.458, 3.462, 2.868, 4.402, 3.984, 2.96, 2.77, 2.783, 2.61, 3.0, 3.987, 3.11, 2.022, 3.212, 2.0, 126.221, 15.81, 849.273, 1.072
3.458, 1.125, 3.024, 2.445, 3.663, 1.672, 2.215, 4.954, 3.093, 338.12, 3.065, 3.042, 2.429, 2.934, 2.543, 2.662, 2.465, 2.606, 1.351, 2.158, 3.084, 3.0, 5.01, 3.008, 4.957, 3.584, 2.0, 1004.613, 29.824, 7533.097, 1.072
2.551, 1.8, 3.449, 3.326, 7.612, 1.708, 3.718, 5.064, 4.131, 366.157, 3.518, 3.218, 3.059, 2.736, 2.082, 2.606, 4.221, 4.501, 2.398, 2.975, 4.621, 3.0, 3.901, 3.052, 4.622, 3.071, 2.0, 982.261, 28.94, 4454.555, 0.0
2.144, 3.609, 4.284, 4.577, 7.578, 1.567, 2.356, 4.391, 4.521, 343.264, 2.559, 4.543, 4.666, 3.243, 2.444, 2.789, 2.632, 3.7, 3.976, 1.166, 2.96, 3.0, 3.747, 3.182, 2.507, 3.048, 2.0, 371.652, 22.578, 3631.065, 1.072
2.048, 3.174, 4.201, 4.328, 4.08, 3.224, 3.805, 2.486, 1.092, 139.091, 2.141, 3.035, 1.27, 1.689, 2.787, 5.426, 2.23, 4.328, 2.486, 4.394, 2.987, 3.0, 2.768, 3.534, 3.933, 3.578, 2.0, 1166.883, 32.216, 4068.862, 0.536
3.582, 1.659, 4.385, 4.861, 5.066, 3.726, 4.633, 3.432, 2.305, 22.453, 1.408, 4.216, 4.81, 2.143, 2.574, 3.853, 1.4, 3.687, 1.506, 4.051, 5.674, 3.0, 5.063, 3.824, 2.391, 3.65, 2.0, 73.121, 13.628, 658.476, 2.145
2.242, 5.465, 4.853, 3.413, 4.53, 2.258, 3.393, 1.278, 1.913, 203.616, 2.402, 3.749, 2.845, 3.954, 2.883, 1.091, 2.54, 3.225, 3.672, 3.293, 5.3, 3.0, 2.911, 3.621, 2.932, 3.311, 2.0, 1025.1, 31.22, 5439.3, 0.0
4.347, 3.859, 4.491, 4.627, 4.683, 1.291, 2.635, 3.774, 1.552, 62.035, 1.866, 3.052, 2.426, 1.567, 2.907, 1.078, 1.14, 3.867, 1.458, 3.574, 2.555, 3.0, 1.844, 3.041, 3.652, 3.512, 2.0, 213.213, 19.386, 2864.477, 2.413
4.801, 1.816, 3.807, 4.504, 6.379, 2.324, 1.947, 3.408, 4.151, 316.824, 2.556, 4.051, 2.459, 3.043, 2.702, 4.933, 2.566, 3.069, 1.446, 3.309, 4.54, 3.0, 4.832, 3.235, 1.505, 3.963, 2.0, 897.527, 29.782, 15191.892, 1.609
2.068, 3.651, 3.144, 3.794, 4.027, 2.922, 2.395, 3.453, 3.853, 212.098, 3.87, 4.91, 2.47, 3.704, 2.881, 1.015, 2.15, 3.251, 3.94, 2.844, 4.009, 3.0, 4.155, 3.488, 1.529, 3.034, 2.0, 430.591, 23.684, 6797.847, 0.0
2.898, 2.778, 3.837, 4.301, 3.089, 1.953, 2.002, 5.461, 1.313, 81.413, 2.278, 4.165, 4.322, 3.645, 2.191, 1.864, 4.289, 2.075, 2.864, 4.237, 3.797, 3.0, 3.771, 3.479, 2.092, 3.76, 2.0, 122.595, 16.117, 596.998, 1.072
2.002, 4.352, 3.537, 2.925, 5.861, 3.906, 1.85, 1.578, 1.175, 359.02, 2.168, 4.991, 3.781, 2.016, 2.985, 2.965, 2.0, 2.514, 1.854, 3.965, 2.481, 3.0, 2.747, 3.961, 1.937, 3.032, 2.0, 824.804, 29.247, 16930.57, 2.413
3.896, 5.311, 3.705, 3.263, 8.074, 2.6, 3.629, 4.087, 3.201, 13.611, 2.864, 3.868, 4.146, 1.955, 2.045, 1.848, 1.379, 2.495, 1.001, 3.73, 3.273, 3.0, 1.31, 3.157, 1.04, 3.773, 2.0, 79.917, 14.187, 664.658, 1.609
4.051, 1.902, 4.23, 4.22, 3.13, 1.744, 2.528, 2.343, 2.821, 285.508, 3.296, 3.472, 2.822, 3.431, 2.217, 1.492, 1.286, 4.911, 2.903, 1.707, 4.634, 3.0, 5.156, 3.158, 4.253, 3.294, 2.0, 732.918, 28.019, 11662.078, 1.072
4.089, 1.425, 4.517, 4.607, 4.772, 2.478, 1.262, 1.301, 3.813, 150.925, 3.197, 3.418, 3.198, 3.959, 2.972, 2.31, 1.06, 3.993, 3.224, 1.66, 4.642, 3.0, 2.95, 3.041, 2.544, 3.615, 2.0, 497.273, 25.515, 15028.529, 0.0
3.034, 1.922, 4.779, 4.085, 3.285, 1.591, 4.519, 3.458, 3.375, 15.252, 1.984, 3.783, 1.34, 3.018, 2.249, 1.494, 1.092, 3.335, 1.24, 2.019, 2.377, 3.0, 3.907, 3.633, 2.981, 3.958, 2.0, 37.159, 11.271, 651.064, 2.413
2.824, 2.441, 4.087, 4.635, 8.63, 3.901, 3.239, 5.674, 3.847, 376.054, 2.908, 3.719, 1.031, 3.325, 2.471, 2.592, 1.413, 3.803, 1.55, 3.957, 5.104, 3.0, 3.305, 3.968, 3.315, 3.403, 2.0, 1862.949, 36.339, 16279.15, 1.609
4.456, 3.195, 3.319, 2.135, 8.071, 1.963, 1.212, 1.233, 2.591, 198.63, 1.666, 4.333, 4.013, 3.96, 2.74, 2.809, 1.669, 4.75, 1.076, 3.191, 3.66, 3.0, 1.819, 3.937, 1.074, 3.034, 2.0, 620.339, 26.83, 30272.508, 3.217
4.303, 3.043, 4.848, 3.294, 7.546, 1.315, 3.08, 2.065, 1.564, 62.843, 3.872, 4.907, 4.697, 1.679, 2.97, 3.651, 4.359, 3.729, 3.816, 3.959, 4.793, 3.0, 4.096, 3.336, 1.879, 3.898, 2.0, 166.067, 17.255, 845.328, 1.072
2.195, 4.462, 4.706, 4.791, 8.094, 2.636, 2.141, 3.319, 2.886, 266.631, 1.822, 4.159, 4.152, 1.071, 2.613, 2.117, 3.284, 3.248, 2.477, 1.415, 3.758, 3.0, 1.747, 3.077, 3.31, 3.535, 2.0, 886.136, 29.652, 8549.502, 1.072
3.204, 1.537, 4.744, 3.483, 6.357, 1.9, 2.14, 4.979, 2.979, 52.481, 3.417, 4.294, 1.399, 2.409, 2.01, 4.125, 3.728, 4.276, 1.693, 3.985, 4.253, 3.0, 4.546, 3.899, 1.752, 3.263, 2.0, 145.096, 16.705, 1566.628, 3.217
2.321, 1.553, 4.227, 4.071, 9.545, 3.015, 4.469, 4.386, 2.614, 272.103, 3.021, 3.768, 3.729, 1.356, 2.367, 4.476, 2.605, 2.806, 3.202, 1.698, 4.949, 3.0, 1.826, 3.55, 1.194, 3.729, 2.0, 985.187, 31.618, 13350.573, 0.536
4.328, 4.968, 3.773, 3.818, 8.925, 2.788, 1.559, 2.467, 3.253, 248.006, 1.45, 3.52, 4.323, 3.481, 2.786, 5.762, 2.126, 3.111, 2.569, 4.521, 5.65, 3.0, 3.955, 3.895, 3.44, 3.618, 2.0, 962.006, 29.057, 5353.516, 0.268
2.887, 5.442, 4.277, 2.884, 3.94, 1.654, 3.637, 2.949, 2.01, 354.973, 2.745, 3.104, 1.39, 3.863, 2.837, 5.905, 4.854, 2.357, 3.392, 1.458, 3.423, 3.0, 5.35, 3.243, 1.019, 3.107, 2.0, 1019.588, 31.446, 3142.575, 1.072
4.321, 5.59, 3.471, 3.43, 3.81, 3.189, 2.568, 2.678, 1.152, 25.695, 3.809, 3.412, 4.258, 3.792, 2.614, 4.529, 4.216, 3.336, 1.502, 2.237, 2.629, 3.0, 4.229, 3.671, 4.958, 3.786, 2.0, 55.223, 12.372, 192.219, 1.072
2.688, 1.399, 4.993, 3.197, 8.169, 2.849, 4.719, 4.061, 3.224, 193.253, 1.301, 3.21, 2.72, 2.048, 2.719, 4.198, 4.383, 3.623, 2.396, 2.52, 3.472, 3.0, 2.359, 3.277, 1.653, 3.268, 2.0, 792.043, 27.972, 5978.281, 1.072
2.97, 5.18, 4.717, 3.784, 9.64, 2.808, 2.69, 4.384, 3.037, 160.381, 3.521, 4.086, 1.453, 3.823, 2.415, 2.17, 1.055, 4.491, 1.17, 1.883, 2.069, 3.0, 3.693, 3.616, 4.779, 3.201, 2.0, 272.775, 20.35, 2990.519, 2.145
4.231, 4.242, 3.965, 2.893, 4.892, 1.799, 3.845, 4.375, 4.576, 149.063, 1.744, 4.059, 4.924, 3.858, 2.21, 3.856, 4.646, 4.281, 2.74, 2.464, 5.56, 3.0, 3.482, 3.226, 4.448, 3.367, 2.0, 487.751, 23.297, 1122.624, 1.072
3.899, 1.952, 3.935, 3.359, 7.925, 3.28, 1.408, 5.699, 3.27, 97.087, 3.004, 4.24, 1.161, 1.883, 2.727, 2.239, 3.241, 4.052, 1.076, 1.728, 4.02, 3.0, 4.747, 3.309, 1.296, 3.082, 2.0, 272.565, 20.833, 7500.574, 1.609
2.476, 1.198, 3.475, 3.246, 5.124, 3.731, 3.102, 1.767, 1.504, 106.583, 3.344, 4.197, 1.85, 3.958, 2.282, 5.986, 2.334, 4.507, 1.447, 4.971, 3.632, 3.0, 5.556, 3.515, 4.368, 3.639, 2.0, 225.95, 19.06, 2044.568, 1.609
3.179, 4.781, 3.204, 2.527, 7.107, 2.989, 3.98, 4.542, 1.718, 373.33, 1.804, 4.2, 3.327, 3.542, 2.509, 4.563, 4.572, 4.227, 3.13, 3.043, 3.624, 3.0, 1.873, 3.681, 4.35, 3.483, 2.0, 2233.275, 37.486, 4263.108, 0.0
3.633, 1.008, 3.63, 4.041, 8.763, 2.757, 1.177, 4.29, 4.917, 301.943, 2.469, 3.082, 3.535, 2.52, 2.953, 1.8, 4.516, 4.646, 2.049, 2.205, 5.77, 3.0, 4.794, 3.802, 2.484, 3.092, 2.0, 806.634, 27.382, 16366.521, 0.0
4.367, 2.161, 4.088, 2.403, 9.612, 2.847, 3.076, 4.074, 3.484, 94.378, 3.303, 3.518, 3.15, 2.347, 2.477, 4.595, 3.437, 4.605, 1.494, 1.717, 3.987, 3.0, 2.705, 3.464, 4.791, 3.587, 2.0, 583.278, 24.999, 3659.201, 1.609
4.563, 5.827, 4.004, 4.887, 9.389, 3.039, 3.429, 1.198, 3.376, 200.977, 1.227, 4.474, 4.759, 2.755, 2.57, 1.883, 2.594, 2.349, 2.255, 1.618, 3.322, 3.0, 2.6, 3.368, 2.671, 3.529, 2.0, 420.894, 23.761, 5781.448, 1.072
2.432, 2.677, 3.86, 3.908, 7.381, 2.058, 2.303, 5.481, 2.408, 28.978, 3.481, 4.591, 2.572, 1.086, 2.15, 5.884, 3.285, 3.487, 3.296, 2.49, 3.731, 3.0, 3.408, 3.169, 4.841, 3.319, 2.0, 81.086, 14.013, 314.966, 0.0
4.001, 3.253, 3.784, 2.037, 8.667, 2.431, 2.019, 4.316, 3.324, 50.061, 1.487, 3.064, 3.181, 3.819, 2.211, 3.353, 1.883, 2.69, 2.152, 2.759, 2.475, 3.0, 1.031, 3.22, 1.329, 3.872, 2.0, 270.226, 20.646, 4434.029, 1.34
4.839, 1.201, 3.775, 2.61, 8.575, 3.819, 3.608, 5.069, 1.486, 51.691, 1.733, 3.067, 3.924, 3.074, 2.453, 5.283, 3.7, 4.354, 3.755, 2.362, 2.742, 3.0, 5.533, 3.671, 2.928, 3.929, 2.0, 298.162, 21.413, 938.453, 0.268
2.212, 2.413, 4.834, 2.719, 3.954, 3.667, 4.459, 4.713, 1.596, 367.023, 2.392, 3.043, 1.207, 3.464, 2.588, 4.766, 3.456, 2.613, 3.122, 3.376, 3.964, 3.0, 3.659, 3.634, 1.499, 3.965, 2.0, 1789.133, 36.803, 9673.79, 0.536
2.677, 5.719, 4.529, 4.452, 7.896, 3.795, 3.958, 1.715, 3.655, 196.799, 2.231, 3.453, 4.451, 3.006, 2.514, 1.737, 1.493, 3.902, 1.201, 1.941, 2.679, 3.0, 3.815, 3.168, 4.715, 3.483, 2.0, 504.548, 24.284, 3043.748, 1.609
4.841, 5.031, 4.865, 3.779, 4.408, 3.289, 4.074, 3.568, 3.349, 159.689, 2.516, 3.689, 1.931, 1.363, 2.368, 5.394, 3.408, 4.463, 2.516, 3.626, 5.421, 3.0, 5.76, 3.945, 3.382, 3.247, 2.0, 854.229, 28.303, 3682.442, 0.536
3.456, 1.051, 4.517, 2.59, 4.164, 1.636, 2.267, 5.299, 4.225, 327.003, 3.54, 4.235, 2.937, 2.741, 2.877, 3.528, 3.577, 2.114, 2.176, 3.879, 2.801, 3.0, 1.029, 3.427, 3.973, 3.056, 2.0, 609.56, 24.779, 4035.709, 2.145
4.768, 5.488, 4.818, 2.175, 8.355, 2.389, 3.079, 2.458, 2.873, 276.891, 2.137, 4.303, 3.101, 2.986, 2.816, 1.36, 2.769, 2.324, 1.939, 1.253, 2.57, 3.0, 3.413, 3.429, 2.207, 3.276, 2.0, 840.11, 29.188, 11815.978, 2.145
3.71, 2.794, 3.551, 3.615, 3.471, 3.755, 3.32, 1.861, 2.789, 188.027, 2.173, 3.005, 1.275, 3.998, 2.361, 2.296, 1.824, 4.242, 3.755, 1.395, 3.219, 3.0, 2.136, 3.395, 1.229, 3.583, 2.0, 1613.307, 36.034, 33268.356, 0.268
3.741, 3.913, 3.467, 2.533, 5.27, 1.682, 2.358, 2.463, 4.688, 67.173, 1.938, 4.17, 1.042, 2.401, 2.208, 2.469, 4.336, 3.12, 1.138, 1.382, 5.36, 3.0, 2.256, 3.033, 2.151, 3.626, 2.0, 373.95, 22.315, 9191.334, 2.145
2.633, 2.208, 4.441, 2.225, 8.166, 3.929, 3.825, 5.671, 3.495, 168.093, 3.939, 4.076, 1.722, 1.125, 2.371, 3.876, 3.471, 4.553, 2.11, 2.232, 3.987, 3.0, 5.987, 3.996, 3.915, 3.036, 2.0, 596.119, 25.573, 4075.768, 1.072
2.396, 4.752, 3.245, 2.755, 4.564, 1.563, 1.152, 5.147, 4.96, 17.821, 2.196, 3.116, 1.99, 3.731, 2.226, 5.224, 4.532, 4.163, 1.76, 4.341, 5.655, 3.0, 3.174, 3.464, 4.765, 3.365, 2.0, 71.047, 12.826, 195.632, 1.072
2.589, 2.327, 4.764, 2.073, 3.812, 2.503, 3.533, 4.838, 3.461, 280.275, 3.793, 3.402, 4.295, 2.349, 2.793, 4.694, 4.507, 2.688, 1.467, 2.244, 4.974, 3.0, 5.603, 3.465, 3.207, 3.109, 2.0, 340.152, 21.359, 2877.117, 1.609
2.45, 5.457, 4.366, 4.418, 3.953, 2.535, 1.528, 2.56, 3.724, 94.144, 1.522, 3.46, 3.051, 2.3, 2.462, 4.748, 3.365, 2.153, 2.867, 1.113, 3.475, 3.0, 2.846, 3.096, 4.854, 3.61, 2.0, 296.84, 20.762, 1975.447, 0.804
2.663, 5.689, 4.439, 3.248, 4.194, 1.716, 4.261, 1.541, 3.439, 295.659, 2.879, 3.327, 4.595, 1.164, 2.013, 5.44, 1.477, 3.25, 3.533, 1.336, 5.304, 3.0, 5.71, 3.766, 1.115, 3.69, 2.0, 1251.771, 34.86, 7548.823, 0.536
3.029, 2.767, 4.282, 4.01, 5.571, 2.108, 3.055, 2.127, 2.78, 166.299, 3.146, 4.727, 4.185, 1.049, 2.965, 3.934, 4.511, 2.601, 2.326, 4.185, 3.331, 3.0, 1.7, 3.57, 1.986, 3.038, 2.0, 504.853, 23.87, 2952.237, 1.609
3.974, 4.973, 4.006, 2.997, 7.36, 2.88, 3.066, 2.221, 3.107, 385.842, 1.207, 3.033, 2.464, 1.642, 2.082, 2.073, 3.59, 2.3, 1.013, 2.785, 5.774, 3.0, 1.585, 3.497, 2.517, 3.397, 2.0, 3504.261, 44.911, 47511.175, 2.145
2.439, 4.786, 3.492, 3.417, 3.706, 3.493, 2.151, 4.911, 1.239, 77.653, 1.515, 4.312, 1.973, 1.113, 2.342, 4.274, 3.696, 4.119, 2.758, 3.699, 4.868, 3.0, 2.64, 3.515, 4.9, 3.755, 2.0, 587.04, 25.032, 2101.24, 0.536
2.96, 4.011, 3.755, 2.712, 5.747, 1.791, 1.824, 5.135, 2.287, 307.085, 3.154, 4.376, 4.604, 3.257, 2.213, 5.28, 2.925, 3.621, 3.057, 4.782, 3.604, 3.0, 4.922, 3.749, 4.536, 3.943, 2.0, 467.093, 23.641, 1361.595, 0.536
4.194, 2.957, 3.229, 4.906, 6.71, 1.051, 3.544, 2.744, 4.924, 46.541, 1.612, 3.514, 4.744, 3.992, 2.811, 1.866, 2.4, 4.802, 2.606, 4.627, 4.334, 3.0, 5.305, 3.972, 3.568, 3.665, 2.0, 166.663, 16.98, 451.664, 0.268
3.859, 2.286, 3.508, 4.124, 5.65, 3.849, 3.396, 2.603, 3.197, 195.467, 3.052, 3.515, 2.656, 1.265, 2.029, 3.666, 4.766, 3.82, 3.509, 4.993, 3.827, 3.0, 3.601, 3.532, 1.043, 3.544, 2.0, 1261.887, 31.814, 6728.913, 0.0
4.952, 3.707, 3.158, 4.844, 4.349, 1.214, 3.951, 4.236, 1.963, 80.017, 3.398, 4.684, 1.879, 2.352, 2.655, 2.46, 1.061, 2.721, 1.263, 3.673, 4.496, 3.0, 1.024, 3.225, 3.6, 3.457, 2.0, 238.389, 19.604, 2823.03, 2.145
3.455, 5.661, 4.748, 3.58, 8.118, 3.926, 3.234, 3.234, 1.166, 210.996, 1.009, 4.243, 1.559, 3.344, 2.766, 1.885, 4.438, 4.519, 2.943, 4.419, 4.166, 3.0, 2.365, 3.247, 1.936, 3.248, 2.0, 1409.28, 33.413, 6102.684, 1.34
3.809, 1.981, 3.671, 3.79, 4.878, 3.04, 2.808, 5.196, 4.46, 292.4, 2.993, 3.322, 3.317, 3.239, 2.851, 1.699, 1.686, 4.932, 3.6, 3.723, 2.469, 3.0, 3.204, 3.815, 2.869, 3.772, 2.0, 1700.978, 35.213, 8355.633, 0.0
2.422, 5.624, 4.71, 4.516, 6.222, 1.439, 2.048, 5.795, 1.962, 13.788, 2.286, 3.629, 4.388, 1.12, 2.071, 4.116, 2.5, 2.645, 1.879, 1.904, 4.531, 3.0, 2.271, 3.505, 2.821, 3.476, 2.0, 33.348, 10.868, 207.86, 2.145
3.515, 5.832, 3.101, 2.136, 4.813, 1.793, 2.421, 1.415, 1.923, 21.169, 3.882, 3.967, 4.199, 2.092, 2.029, 4.187, 1.149, 4.204, 3.754, 1.212, 3.593, 3.0, 5.625, 3.051, 3.788, 3.668, 2.0, 90.854, 14.836, 547.452, 0.0
2.687, 3.909, 4.695, 3.521, 5.981, 1.372, 3.517, 3.809, 4.457, 363.459, 3.028, 4.453, 2.3, 2.589, 2.123, 3.279, 3.07, 3.749, 3.174, 3.074, 2.383, 3.0, 5.966, 3.583, 2.368, 3.949, 2.0, 837.064, 28.463, 3504.195, 1.072
3.221, 3.983, 4.82, 2.967, 3.455, 3.172, 4.923, 4.278, 3.11, 85.56, 1.55, 3.675, 2.587, 3.51, 2.931, 3.519, 2.152, 2.776, 1.477, 4.289, 4.754, 3.0, 5.041, 3.1, 1.27, 3.372, 2.0, 240.514, 19.649, 1763.333, 2.413
3.349, 4.981, 3.466, 2.064, 7.995, 2.37, 1.285, 2.163, 4.164, 386.082, 3.928, 3.27, 4.627, 1.664, 2.442, 1.65, 1.16, 3.926, 1.984, 2.892, 3.762, 3.0, 3.637, 3.552, 4.633, 3.369, 2.0, 1318.375, 32.599, 16809.239, 1.072
3.457, 4.757, 3.039, 3.023, 5.357, 3.621, 1.979, 4.325, 2.295, 292.149, 2.881, 3.705, 2.523, 1.207, 2.489, 2.462, 1.429, 4.667, 3.66, 3.597, 5.786, 3.0, 1.145, 3.685, 4.593, 3.213, 2.0, 2850.882, 41.741, 23862.245, 0.0
3.782, 4.999, 3.188, 3.065, 3.747, 3.344, 1.172, 2.939, 1.444, 42.447, 2.447, 3.393, 3.787, 2.565, 2.145, 4.684, 1.708, 3.791, 3.723, 3.07, 2.828, 3.0, 1.28, 3.282, 3.577, 3.491, 2.0, 221.744, 19.317, 2337.252, 0.0
4.016, 2.218, 3.184, 3.958, 8.728, 2.033, 3.332, 4.762, 4.457, 380.179, 2.373, 4.53, 2.417, 3.917, 2.515, 4.507, 2.523, 3.39, 1.203, 2.2, 2.534, 3.0, 1.228, 3.218, 3.834, 3.979, 2.0, 670.42, 26.308, 11160.573, 1.609
3.259, 4.307, 3.388, 4.539, 7.987, 3.98, 3.843, 5.289, 3.288, 179.413, 3.263, 4.008, 3.606, 3.181, 2.263, 1.403, 1.138, 3.031, 2.767, 1.858, 4.92, 3.0, 1.466, 3.69, 1.123, 3.468, 2.0, 686.136, 28.164, 10224.465, 1.072
4.149, 5.072, 4.133, 4.69, 8.655, 2.174, 4.33, 3.063, 2.733, 161.981, 1.974, 3.495, 4.467, 3.889, 2.277, 4.844, 4.856, 2.259, 3.955, 2.734, 3.614, 3.0, 3.174, 3.066, 3.2, 3.121, 2.0, 319.69, 20.877, 603.563, 0.268
4.209, 5.063, 4.872, 4.854, 9.241, 3.336, 2.316, 1.906, 1.162, 368.675, 1.187, 4.716, 3.254, 1.373, 2.085, 4.148, 2.133, 3.084, 3.522, 3.003, 4.834, 3.0, 3.878, 3.41, 1.226, 3.023, 2.0, 1394.094, 35.109, 18683.287, 0.0
2.76, 2.474, 3.731, 4.251, 4.002, 2.997, 1.76, 1.739, 4.554, 273.129, 1.152, 3.547, 1.589, 1.192, 2.112, 4.145, 3.334, 4.141, 3.578, 1.834, 2.011, 3.0, 1.081, 3.234, 4.542, 3.528, 2.0, 1311.18, 32.489, 22821.392, 0.268
4.598, 4.82, 4.946, 3.622, 4.185, 3.514, 3.68, 5.149, 4.485, 292.837, 3.345, 4.651, 3.788, 2.264, 2.415, 3.605, 1.032, 2.527, 2.53, 4.592, 3.381, 3.0, 4.789, 3.281, 4.846, 3.784, 2.0, 604.688, 25.632, 1770.572, 1.072
3.38, 1.92, 4.806, 3.019, 8.393, 2.192, 1.595, 4.593, 1.91, 304.067, 2.193, 4.625, 2.843, 2.524, 2.452, 1.176, 2.509, 2.537, 1.806, 3.078, 4.032, 3.0, 5.35, 3.963, 2.81, 3.102, 2.0, 589.235, 25.994, 8964.743, 2.145
4.083, 1.29, 3.215, 3.723, 9.319, 1.207, 4.079, 5.07, 1.56, 88.562, 2.458, 3.708, 1.424, 3.811, 2.934, 4.475, 1.407, 3.661, 2.284, 4.388, 5.392, 3.0, 4.629, 3.55, 2.234, 3.985, 2.0, 364.777, 22.432, 2389.724, 0.0
3.025, 2.25, 4.86, 3.312, 7.338, 3.239, 1.716, 1.437, 4.202, 128.798, 3.085, 4.376, 2.465, 1.403, 2.143, 3.57, 4.381, 3.658, 2.979, 2.282, 2.458, 3.0, 1.756, 3.603, 3.935, 3.848, 2.0, 363.203, 21.612, 5949.048, 1.072
3.601, 1.092, 4.731, 4.357, 8.58, 2.288, 2.705, 1.989, 4.017, 70.283, 1.162, 4.963, 2.4, 2.032, 2.97, 3.93, 1.032, 2.147, 3.003, 3.983, 2.63, 3.0, 4.398, 3.921, 4.942, 3.386, 2.0, 173.574, 17.319, 1159.201, 0.0
3.142, 3.569, 3.443, 3.886, 9.216, 2.099, 1.305, 3.414, 4.049, 106.026, 2.806, 4.412, 1.54, 2.272, 2.673, 5.654, 3.276, 4.478, 1.909, 2.487, 4.853, 3.0, 3.307, 3.25, 1.635, 3.88, 2.0, 362.091, 22.572, 8275.331, 1.609
2.994, 2.305, 3.488, 3.163, 8.322, 3.408, 1.366, 5.941, 2.24, 329.531, 2.139, 3.964, 3.229, 2.368, 2.616, 5.244, 4.928, 2.28, 2.278, 2.343, 4.304, 3.0, 3.604, 3.158, 3.551, 3.138, 2.0, 647.369, 25.947, 4184.1, 0.0
2.893, 2.617, 3.869, 4.493, 7.115, 2.898, 3.132, 3.655, 4.256, 165.317, 1.286, 3.154, 2.239, 3.804, 2.679, 2.575, 4.09, 2.471, 3.895, 4.674, 4.421, 3.0, 2.309, 3.005, 1.086, 3.185, 2.0, 524.245, 24.278, 3477.493, 0.536
3.036, 2.854, 3.269, 2.906, 7.486, 2.743, 2.18, 1.935, 4.775, 111.826, 2.176, 3.641, 1.449, 2.674, 2.158, 1.145, 3.886, 3.502, 3.79, 3.771, 5.746, 3.0, 5.711, 3.443, 1.367, 3.994, 2.0, 805.538, 27.932, 8177.708, 0.536
3.452, 3.715, 3.868, 4.674, 7.6, 1.805, 1.246, 3.779, 1.625, 18.661, 2.96, 4.597, 4.262, 2.558, 2.12, 2.725, 2.216, 4.588, 1.022, 1.024, 2.126, 3.0, 5.647, 3.489, 4.441, 3.797, 2.0, 26.567, 10.114, 257.905, 2.145
2.971, 5.16, 4.075, 3.508, 4.816, 1.294, 1.691, 2.088, 1.685, 325.133, 1.92, 4.844, 4.006, 2.266, 2.79, 4.313, 2.046, 4.993, 2.386, 1.881, 3.675, 3.0, 4.302, 3.74, 3.061, 3.639, 2.0, 710.477, 27.895, 10599.838, 2.145
4.799, 4.897, 4.879, 2.187, 5.792, 2.048, 1.343, 2.7, 3.95, 36.425, 2.04, 4.05, 4.969, 1.647, 2.356, 4.508, 3.01, 4.313, 3.549, 1.0, 3.144, 3.0, 5.96, 3.081, 2.707, 3.313, 2.0, 85.369, 14.336, 694.296, 0.0
3.955, 4.862, 4.623, 2.315, 3.194, 2.004, 3.644, 2.169, 1.401, 248.448, 3.097, 3.267, 4.894, 1.839, 2.761, 2.015, 1.816, 4.894, 1.336, 4.404, 2.738, 3.0, 5.136, 3.717, 2.022, 3.264, 2.0, 604.901, 26.624, 5822.118, 1.609
2.247, 4.27, 4.421, 3.34, 6.029, 3.778, 3.758, 2.823, 4.459, 318.191, 2.755, 3.832, 1.625, 1.479, 2.82, 3.115, 4.241, 2.312, 2.521, 4.766, 5.729, 3.0, 3.865, 3.299, 3.108, 3.651, 2.0, 1251.123, 30.395, 7072.671, 0.536
3.991, 2.919, 3.901, 2.311, 7.696, 3.301, 4.294, 4.654, 1.464, 386.676, 1.311, 4.489, 4.847, 2.067, 2.798, 3.418, 4.675, 2.371, 2.565, 4.412, 2.058, 3.0, 2.635, 3.767, 2.84, 3.653, 2.0, 1003.796, 29.363, 3289.278, 0.536
4.773, 4.448, 3.017, 3.153, 3.319, 1.947, 2.455, 4.128, 4.688, 131.829, 3.146, 4.641, 2.988, 3.167, 2.345, 1.134, 2.015, 4.555, 1.705, 2.606, 4.718, 3.0, 3.412, 3.77, 4.634, 3.085, 2.0, 588.17, 25.427, 4911.964, 2.145
